25590.0, {'247379907': -16.0, '252017285': 3.0, '256201389': 0, '26110729': -13.0, '280120513': 0, '32319828': 0, '62426694': 241.0, 'cluster_1098574052_1098574061_247379905': 11.0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 2, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 2}, 
25600.0, {'247379907': -27.0, '252017285': 0, '256201389': 0, '26110729': -20.0, '280120513': 0, '32319828': 0, '62426694': -10.0, 'cluster_1098574052_1098574061_247379905': 15.0}, {'247379907': 2, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 3, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 0}, 
25610.0, {'247379907': -50.0, '252017285': 0, '256201389': 0, '26110729': -20.0, '280120513': -8.0, '32319828': 0, '62426694': 41.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 3, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 1, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 5, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 1, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, 
25620.0, {'247379907': -12.0, '252017285': 0, '256201389': 0, '26110729': -40.0, '280120513': 8.0, '32319828': 0, '62426694': -7.0, 'cluster_1098574052_1098574061_247379905': -5.0}, {'247379907': 4, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 6, '252017285': 0, '256201389': 0, '26110729': 5, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, 
25630.0, {'247379907': -68.0, '252017285': -7.0, '256201389': 0, '26110729': -50.0, '280120513': -9.0, '32319828': 0, '62426694': -11.0, 'cluster_1098574052_1098574061_247379905': 5.0}, {'247379907': 4, '252017285': 2, '256201389': 0, '26110729': 2, '280120513': 2, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 7, '252017285': 2, '256201389': 0, '26110729': 5, '280120513': 2, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 0}, 
25640.0, {'247379907': -80.0, '252017285': 7.0, '256201389': 0, '26110729': -50.0, '280120513': -34.0, '32319828': 0, '62426694': 9.0, 'cluster_1098574052_1098574061_247379905': -10.0}, {'247379907': 4, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 4, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 9, '252017285': 0, '256201389': 0, '26110729': 5, '280120513': 4, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 1}, 
25650.0, {'247379907': 195.0, '252017285': 0, '256201389': 0, '26110729': 128.0, '280120513': 28.0, '32319828': 0, '62426694': 9.0, 'cluster_1098574052_1098574061_247379905': -10.0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 1, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 4, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 1, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 1}, 
25660.0, {'247379907': 19.0, '252017285': 0, '256201389': 0, '26110729': -20.0, '280120513': 15.0, '32319828': 0, '62426694': -8.0, 'cluster_1098574052_1098574061_247379905': 20.0}, {'247379907': 3, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 4, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 0}, 
25670.0, {'247379907': -40.0, '252017285': 0, '256201389': 0, '26110729': -32.0, '280120513': 0, '32319828': 0, '62426694': -9.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 3, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 4, '252017285': 0, '256201389': 0, '26110729': 6, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 0}, 
25680.0, {'247379907': -71.0, '252017285': 0, '256201389': 0, '26110729': 124.0, '280120513': 0, '32319828': 0, '62426694': 8.0, 'cluster_1098574052_1098574061_247379905': -7.0}, {'247379907': 5, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 11, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, 
25690.0, {'247379907': -132.0, '252017285': -4.0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 9.0, 'cluster_1098574052_1098574061_247379905': -10.0}, {'247379907': 6, '252017285': 1, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 15, '252017285': 1, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 1}, 
